algorithm,split,run_seed,episode_count,no_threat_event_count,potential_event_count,severe_event_count,avg_return,median_return,severe_miss_rate,false_warning_rate,avg_alert_changes,avg_invalid_actions,avg_warning_step_on_severe,avg_watch_step_on_potential,safety_score
q_learning_pure,validation,11,64,35,23,6,-2.6375,13.8,0.3333333333333333,0.02857142857142857,1.40625,0.0,5.75,4.7368421052631575,-104.06607142857143
q_learning_pure,test,11,70,37,25,8,-11.550000000000006,13.8,0.625,0.0,1.7571428571428571,0.0,4.0,4.5,-199.05
q_learning_safe,validation,11,64,35,23,6,22.042187500000004,13.8,0.0,0.0,1.234375,0.0,4.0,4.956521739130435,22.042187500000004
q_learning_safe,test,11,70,37,25,8,19.857142857142858,13.8,0.0,0.0,1.5142857142857142,0.0,3.875,4.88,19.857142857142858
q_learning_pure,validation,22,64,35,23,6,1.0265625000000016,13.8,0.3333333333333333,0.0,1.515625,0.0,4.5,5.238095238095238,-98.9734375
q_learning_pure,test,22,70,37,25,8,-11.53571428571429,13.3,0.5,0.0,1.5857142857142856,0.0,4.75,4.7272727272727275,-161.53571428571428
q_learning_safe,validation,22,64,35,23,6,18.503125000000004,13.8,0.0,0.0,1.53125,0.0,4.0,4.956521739130435,18.503125000000004
q_learning_safe,test,22,70,37,25,8,20.414285714285715,13.8,0.0,0.0,1.4285714285714286,0.0,3.875,4.96,20.414285714285715
q_learning_pure,validation,33,64,35,23,6,0.04218749999999949,13.8,0.3333333333333333,0.0,1.640625,0.0,4.75,5.238095238095238,-99.9578125
q_learning_pure,test,33,70,37,25,8,-12.71428571428572,13.3,0.5,0.05405405405405406,1.5714285714285714,0.0,4.0,4.545454545454546,-165.41698841698843
q_learning_safe,validation,33,64,35,23,6,20.182812500000004,13.8,0.0,0.0,1.328125,0.0,4.0,4.956521739130435,20.182812500000004
q_learning_safe,test,33,70,37,25,8,20.335714285714285,13.8,0.0,0.0,1.4714285714285715,0.0,3.875,4.96,20.335714285714285
sarsa_pure,validation,11,64,35,23,6,1.729687499999999,13.8,0.3333333333333333,0.0,1.421875,0.0,4.75,4.631578947368421,-98.2703125
sarsa_pure,test,11,70,37,25,8,-7.3428571428571425,13.8,0.375,0.02702702702702703,1.7714285714285714,0.0,4.2,4.7272727272727275,-121.1942084942085
sarsa_safe,validation,11,64,35,23,6,21.284375000000004,13.8,0.0,0.0,1.28125,0.0,4.0,4.956521739130435,21.284375000000004
sarsa_safe,test,11,70,37,25,8,19.485714285714284,13.8,0.0,0.0,1.542857142857143,0.0,3.875,4.88,19.485714285714284
sarsa_pure,validation,22,64,35,23,6,1.1828125000000014,13.8,0.3333333333333333,0.0,1.546875,0.0,4.5,5.2,-98.8171875
sarsa_pure,test,22,70,37,25,8,-9.007142857142863,13.55,0.5,0.0,1.6714285714285715,0.0,4.25,4.913043478260869,-159.00714285714287
sarsa_safe,validation,22,64,35,23,6,19.057812500000004,13.8,0.0,0.0,1.484375,0.0,4.0,4.956521739130435,19.057812500000004
sarsa_safe,test,22,70,37,25,8,20.714285714285715,13.8,0.0,0.0,1.4,0.0,3.875,4.96,20.714285714285715
sarsa_pure,validation,33,64,35,23,6,-1.1375000000000006,13.8,0.3333333333333333,0.0,1.71875,0.0,5.75,4.65,-101.1375
sarsa_pure,test,33,70,37,25,8,-5.164285714285715,13.8,0.375,0.02702702702702703,1.7285714285714286,0.0,4.4,4.565217391304348,-119.01563706563707
sarsa_safe,validation,33,64,35,23,6,19.909375000000004,13.8,0.0,0.0,1.375,0.0,4.0,4.956521739130435,19.909375000000004
sarsa_safe,test,33,70,37,25,8,20.314285714285713,13.8,0.0,0.0,1.4,0.0,3.875,4.96,20.314285714285713
rule_based,validation,11,64,35,23,6,21.237500000000004,13.8,0.0,0.0,1.25,0.0,3.8333333333333335,4.956521739130435,21.237500000000004
rule_based,test,11,70,37,25,8,20.25,13.8,0.0,0.0,1.4428571428571428,0.0,3.875,4.96,20.25
rule_based,validation,22,64,35,23,6,18.612500000000004,13.8,0.0,0.0,1.46875,0.0,4.0,4.826086956521739,18.612500000000004
rule_based,test,22,70,37,25,8,20.664285714285715,13.8,0.0,0.0,1.4142857142857144,0.0,3.875,4.96,20.664285714285715
rule_based,validation,33,64,35,23,6,20.932812500000004,13.8,0.0,0.0,1.265625,0.0,4.0,4.956521739130435,20.932812500000004
rule_based,test,33,70,37,25,8,20.285714285714285,13.8,0.0,0.0,1.457142857142857,0.0,3.875,4.96,20.285714285714285
ppo_lstm_pure,validation,77,64,35,23,6,18.776562500000004,13.8,0.0,0.0,0.921875,0.0,4.0,4.3478260869565215,18.776562500000004
ppo_lstm_pure,test,77,70,37,25,8,18.028571428571425,13.8,0.0,0.0,1.0857142857142856,0.0,3.875,3.48,18.028571428571425
