episode,algorithm,split,run_seed,event_group_id,origin_time_utc,danger_label,return,danger_tier,target_alert_level,missed_severe,false_warning,alert_changes,warning_step,watch_step,cancel_step,max_alert,invalid_actions,wave_imputed_flag
1,q_learning_pure,validation,11,20150922005215,2015-09-21 17:40:00+00:00,potential_threat,27.799999999999997,1,2,0,0,2,,5.0,,2,0,1
2,q_learning_pure,validation,11,20150924231022,2015-09-24 15:53:30+00:00,potential_threat,-4.6999999999999975,1,2,0,0,3,10.0,6.0,,4,0,1
3,q_learning_pure,validation,11,20151021045951,2015-10-20 21:52:01+00:00,potential_threat,27.799999999999997,1,2,0,0,2,,5.0,,3,0,1
4,q_learning_pure,validation,11,20151026161931,2015-10-26 09:09:31+00:00,potential_threat,-82.2,1,2,0,0,0,,,,0,0,1
5,q_learning_pure,validation,11,20151107145025,2015-11-07 07:31:41+00:00,potential_threat,-82.7,1,2,0,0,1,,,,1,0,1
6,q_learning_pure,validation,11,20151119014040,2015-11-18 18:31:08+00:00,potential_threat,27.799999999999997,1,2,0,0,2,,5.0,,3,0,1
7,q_learning_pure,validation,11,20151125060156,2015-11-24 22:45:13+00:00,potential_threat,-82.7,1,2,0,0,1,,,,1,0,1
8,q_learning_pure,validation,11,20151125060739,2015-11-24 22:50:54+00:00,potential_threat,53.3,1,2,0,0,3,,1.0,,2,0,1
9,q_learning_pure,validation,11,20151205053934,2015-12-04 22:24:55+00:00,potential_threat,27.799999999999997,1,2,0,0,2,,5.0,,3,0,1
10,q_learning_pure,validation,11,20151209172659,2015-12-09 10:21:49+00:00,potential_threat,8.799999999999999,1,2,0,0,4,,5.0,,2,0,1
11,q_learning_pure,validation,11,20160104061619,2016-01-03 23:05:23+00:00,potential_threat,27.799999999999997,1,2,0,0,2,,5.0,,3,0,1
12,q_learning_pure,validation,11,20160114103823,2016-01-14 03:25:33+00:00,potential_threat,27.799999999999997,1,2,0,0,2,,5.0,,3,0,1
13,q_learning_pure,validation,11,20160124174806,2016-01-24 10:30:30+00:00,potential_threat,5.800000000000001,1,2,0,0,2,,7.0,,2,0,1
14,q_learning_pure,validation,11,20160130105145,2016-01-30 03:25:13+00:00,potential_threat,10.300000000000002,1,2,0,0,3,,6.0,,3,0,1
15,q_learning_pure,validation,11,20160208232607,2016-02-08 16:19:16+00:00,potential_threat,27.799999999999997,1,2,0,0,2,,5.0,,2,0,1
16,q_learning_pure,validation,11,20160212170946,2016-02-12 10:02:24+00:00,potential_threat,21.299999999999997,1,2,0,0,3,,5.0,,3,0,1
17,q_learning_pure,validation,11,20160403153732,2016-04-03 08:23:52+00:00,potential_threat,27.799999999999997,1,2,0,0,2,,5.0,,3,0,1
18,q_learning_pure,validation,11,20160406141123,2016-04-06 06:58:48+00:00,potential_threat,27.799999999999997,1,2,0,0,2,,5.0,,3,0,1
19,q_learning_pure,validation,11,20160407104806,2016-04-07 03:33:00+00:00,potential_threat,27.799999999999997,1,2,0,0,2,,5.0,,3,0,1
20,q_learning_pure,validation,11,20160415233917,2016-04-15 16:25:09+00:00,potential_threat,27.799999999999997,1,2,0,0,2,,5.0,,3,0,1
21,q_learning_pure,validation,11,20160417071240,2016-04-16 23:58:36+00:00,potential_threat,-85.2,1,2,0,0,0,,,,0,0,1
